WELL,0 h ,0 h 15 min,0 h 30 min,0 h 45 min,1 h ,1 h 15 min,1 h 30 min,1 h 45 min,2 h ,2 h 15 min,2 h 30 min,2 h 45 min,3 h ,3 h 15 min,3 h 30 min,3 h 45 min,4 h ,4 h 15 min,4 h 30 min,4 h 45 min,5 h ,5 h 15 min,5 h 30 min,5 h 45 min,6 h ,6 h 15 min,6 h 30 min,6 h 45 min,7 h ,7 h 15 min,7 h 30 min,7 h 45 min,8 h ,8 h 15 min,8 h 30 min,8 h 45 min,9 h ,9 h 15 min,9 h 30 min,9 h 45 min,10 h ,10 h 15 min,10 h 30 min,10 h 45 min,11 h ,11 h 15 min,11 h 30 min,11 h 45 min,12 h ,12 h 15 min,12 h 30 min,12 h 45 min,13 h ,13 h 15 min,13 h 30 min,13 h 45 min,14 h ,14 h 15 min,14 h 30 min,14 h 45 min,15 h ,15 h 15 min,15 h 30 min,15 h 45 min,16 h ,16 h 15 min,16 h 30 min,16 h 45 min,17 h ,17 h 15 min,17 h 30 min,17 h 45 min,18 h ,18 h 15 min,18 h 30 min,18 h 45 min,19 h ,19 h 15 min,19 h 30 min,19 h 45 min
A11,259.88700564971754,219.51219512195124,222.22222222222223,193.6936936936937,208.13397129186603,206.89655172413794,206.0889929742389,202.27272727272728,210.06564551422318,181.8181818181818,191.8103448275862,187.11018711018713,163.90041493775934,173.73737373737373,163.42412451361866,172.67552182163186,154.39856373429083,150.3623188405797,164.04886561954626,144.02618657937808,151.8578352180937,141.06583072100312,138.34586466165413,131.12391930835736,114.8936170212766,131.10181311018133,129.55465587044534,118.12080536912752,111.40235910878113,117.25955204216073,115.53273427471116,105.46378653113088,108.04020100502512,116.16161616161615,94.40993788819875,115.62115621156212,115.0990099009901,118.58190709046455,112.60709914320687,118.29268292682927,107.57946210268949,120.43795620437957,112.4546553808948,110.44417767106843,112.18335343787696,109.2233009708738,111.38014527845037,108.04321728691477,105.51558752997602,107.2289156626506,106.84273709483794,110.8433734939759,104.24242424242425,103.03030303030303,106.79611650485438,104.94571773220748,99.3939393939394,96.26955475330927,103.86473429951691,111.77884615384616,115.71254567600488,108.69565217391305,102.40963855421687,100.12062726176116,106.66666666666667,104.62287104622871,122.69938650306749,96.93251533742333,102.18978102189782,104.75030450669915,105.45454545454545,109.62241169305726,116.9305724725944,108.82708585247885,102.90556900726392,96.81372549019609,96.45909645909647,107.27496917385943,108.07453416149067,117.86600496277914
A12,274.01129943502826,236.45320197044333,211.40142517814726,210.52631578947367,208.23244552058114,209.52380952380952,215.13002364066193,213.27014218009478,216.40091116173122,219.73094170403587,221.97309417040358,200.0,215.68627450980392,191.66666666666669,190.1840490797546,173.00380228136882,172.81553398058253,170.45454545454544,172.2222222222222,153.5776614310646,166.37478108581436,154.22885572139305,145.56962025316454,149.06832298136646,138.8059701492537,133.72093023255815,126.93935119887166,130.67400275103165,125.0,132.6259946949602,124.67191601049869,121.76165803108807,128.62547288776796,119.3467336683417,116.85116851168513,117.21611721611723,124.39024390243902,127.86489746682751,121.8026796589525,119.07654921020657,116.86746987951808,119.13357400722022,117.08482676224612,112.82660332541568,114.25206124852768,112.29314420803783,111.50652431791222,107.81990521327015,108.23529411764706,118.82352941176471,114.52184179456907,114.11764705882354,114.88862837045721,113.6094674556213,112.70983213429257,121.60566706021253,115.75178997613365,116.72683513838749,104.76190476190476,105.26315789473685,120.0,114.1826923076923,109.75609756097562,111.6504854368932,107.57946210268949,106.30407911001235,105.65110565110565,107.80669144981412,118.22660098522167,112.7633209417596,114.00247831474597,123.2876712328767,111.66253101736972,119.25465838509317,104.8689138576779,113.46633416458852,114.14392059553349,119.3467336683417,108.00508259212198,118.83691529709229
B01,238.91625615763544,237.8640776699029,224.8803827751196,243.4988179669031,243.24324324324326,246.97336561743342,229.66507177033495,233.1002331002331,210.0456621004566,217.0022371364653,220.04357298474946,207.26495726495725,204.91803278688525,198.01980198019803,179.38931297709922,179.15904936014624,167.82006920415225,159.2039800995025,163.23296354992075,154.43425076452598,148.14814814814815,150.997150997151,134.8005502063274,129.03225806451613,132.72010512483575,129.65340179717586,125.95419847328243,129.67581047381546,125.31017369727046,127.29498164014689,129.11084043848965,123.93681652490888,130.85234093637456,127.99043062200957,125.59241706161139,129.45368171021377,128.11387900355874,138.25983313468416,140.49586776859505,125.14757969303425,131.36094674556213,130.17751479289942,129.14691943127963,134.7517730496454,141.33016627078385,128.11387900355874,132.14285714285714,130.07159904534606,130.85234093637456,135.32934131736528,138.42482100238664,138.92215568862275,135.4916067146283,134.38256658595643,140.96385542168676,149.7584541062802,143.3734939759036,149.93954050785973,142.50913520097444,143.72716199756397,141.29110840438491,145.80801944106926,145.1219512195122,151.58924205378975,144.4308445532436,144.25427872860638,139.3643031784841,140.9313725490196,143.56435643564356,143.91143911439116,137.973137973138,140.22140221402216,151.17719950433704,145.16129032258064,141.2776412776413,143.03329223181257,152.98507462686567,144.9814126394052,148.5148514851485,145.16129032258064
B02,306.73316708229424,269.8019801980198,255.0,262.77372262773724,288.94472361809045,273.4177215189873,296.2962962962963,270.2702702702703,263.2850241545894,269.3208430913349,275.9433962264151,263.8888888888889,258.4269662921348,253.8293216630197,246.31578947368422,223.57723577235774,234.04255319148936,224.33460076045625,212.99638989169674,206.0810810810811,207.85597381342063,202.1772939346812,200.0,193.54838709677418,186.07954545454547,187.24559023066487,190.09370816599733,193.00518134715026,180.76923076923077,191.19496855345912,187.11276332094175,200.24570024570025,200.24125452352231,196.8599033816425,212.51475796930342,217.49408983451536,219.7149643705463,233.33333333333334,231.13207547169813,242.67291910902696,245.04084014002333,244.1588785046729,246.20770128354727,258.5193889541716,263.0966239813737,259.04317386231037,265.25821596244134,248.5414235705951,259.1283863368669,269.5035460992908,268.55123674911664,264.70588235294116,273.90791027154665,275.41371158392434,275.08854781582056,276.79623085983513,274.76415094339626,274.5562130177515,272.29488703923903,277.511961722488,279.9043062200957,274.4630071599045,274.5803357314149,272.5090036014406,273.48394768133176,278.3751493428913,279.236276849642,278.3751493428913,279.51807228915663,286.40192539109506,290.86538461538464,278.51140456182475,291.2621359223301,289.3772893772894,284.1726618705036,286.92493946731236,291.2621359223301,286.577992744861,286.06060606060606,293.124246079614
B03,250.0,260.0,251.23152709359604,266.0332541567696,245.70024570024572,260.4422604422605,254.80769230769232,250.0,224.29906542056077,246.57534246575344,237.02031602708803,237.36263736263734,227.46781115879827,203.74220374220374,200.80321285140562,194.23076923076923,196.66048237476807,186.04651162790697,181.97278911564626,166.39741518578353,166.9291338582677,154.31164901664144,156.11192930780558,146.55172413793105,149.58448753462605,139.1891891891892,141.1451398135819,143.78238341968913,135.72343149807938,123.40966921119592,137.6720901126408,124.06947890818857,141.2776412776413,142.85714285714286,136.91931540342298,132.44228432563793,133.8962605548854,138.3495145631068,138.72135102533173,132.77511961722487,133.81123058542414,142.68585131894486,145.25810324129654,141.8269230769231,137.7245508982036,131.0096153846154,136.30880579010858,137.68115942028987,139.22518159806296,140.60606060606062,144.92753623188406,139.5631067961165,144.41747572815535,139.73268529769138,150.0,142.85714285714286,140.94775212636696,128.36185819070906,144.07814407814408,146.1916461916462,135.63501849568433,154.320987654321,148.5148514851485,154.320987654321,155.4467564259486,141.6256157635468,145.32019704433498,148.83148831488316,139.30348258706468,147.27722772277227,153.46534653465346,153.46534653465346,155.86034912718205,141.07365792759052,148.3312731767614,149.3099121706399,155.6662515566625,154.03726708074532,157.3729863692689,145.70361145703612
B04,374.5928338762215,327.536231884058,315.06849315068496,332.425068119891,338.9355742296919,325.8426966292135,324.1758241758242,313.51351351351354,330.64516129032256,327.22513089005236,327.27272727272725,322.5,309.22693266832914,324.39024390243907,302.10772833723655,295.71106094808124,293.3618843683083,284.5188284518829,276.0,278.62595419847327,260.4735883424408,254.32525951557096,255.62700964630224,248.84080370942812,244.34389140271492,247.48201438848923,244.5054945054945,261.3941018766756,259.16230366492147,265.6449553001277,261.519302615193,280.2937576499388,292.21556886227546,297.89719626168227,322.0140515222482,334.11488862837047,350.0,365.74074074074076,379.9076212471132,383.39021615472126,399.5459704880817,412.23103057757646,421.9457013574661,434.3891402714932,437.42953776775647,447.69403824521936,462.7539503386004,452.40761478163495,473.8636363636364,469.5259593679458,472.97297297297297,471.2514092446449,484.1269841269841,492.0091324200913,481.7767653758542,494.3566591422122,484.71121177802945,502.8506271379704,493.1350114416476,496.59090909090907,507.97266514806375,495.45454545454544,500.57273768613976,492.57142857142856,500.57012542759406,505.13112884834663,500.5688282138794,502.2883295194508,505.73394495412845,505.1783659378596,504.54545454545456,502.87686996547757,500.0,506.3437139561707,510.93210586881474,513.8888888888889,513.9211136890951,515.5709342560554,506.9124423963134,510.98265895953756
B05,375.31486146095716,328.46715328467155,337.32057416267946,315.1658767772512,341.52334152334157,358.5365853658537,357.487922705314,346.1538461538462,360.5769230769231,365.3846153846154,362.9976580796253,355.14018691588785,360.4651162790698,358.62068965517244,355.7046979865772,370.2882483370288,377.3987206823028,355.7894736842105,383.0227743271222,362.0352250489237,380.03838771593087,367.83733826247686,385.43516873889877,370.4974271012007,384.10596026490066,370.7692307692308,374.6268656716418,393.4191702432046,398.61111111111114,402.7027027027027,409.0322580645161,428.57142857142856,443.4993924665857,473.68421052631584,494.1037735849057,525.6410256410256,563.5103926096998,597.7272727272727,633.7868480725624,662.1923937360178,700.3329633740289,720.8287895310796,743.7020810514786,774.4774477447745,796.0741548527808,819.5652173913043,850.7625272331154,860.0867678958784,881.967213114754,885.0325379609544,900.0,917.3014145810663,928.3387622149837,937.5684556407448,947.6553980370774,955.5796316359696,958.6056644880174,962.9225736095965,970.4595185995623,988.9988998899889,973.7991266375545,976.9989047097481,1004.4150110375276,987.9120879120878,993.4354485776805,989.0470974808323,984.6322722283205,990.1315789473684,1008.8593576965669,1009.933774834437,998.9047097480832,995.5703211517165,1009.9778270509978,1024.5535714285713,1002.2172949002218,1007.7691453940066,1009.9447513812155,1015.5555555555555,1015.6075808249722,1027.9955207166854
B06,441.86046511627904,404.8780487804878,377.4038461538462,377.08830548926016,379.65260545905704,404.46650124069475,400.4854368932039,420.5378973105135,426.15012106537534,413.8755980861244,418.8235294117647,412.5874125874126,448.9311163895487,456.87645687645687,443.94618834080717,439.8249452954048,450.4310344827586,464.818763326226,466.11909650924025,455.79567779960706,468.2080924855491,467.6524953789279,463.458110516934,463.7931034482759,467.3202614379085,465.22411128284386,478.1954887218045,476.4621968616263,495.10489510489515,513.0315500685871,525.1322751322751,551.5463917525773,551.1221945137157,569.4789081885856,568.1265206812652,577.565632458234,587.2641509433962,602.3391812865498,599.3031358885017,612.3853211009174,609.1428571428571,623.5827664399093,629.4184720638541,630.3854875283447,627.2522522522522,629.7968397291196,644.0677966101695,647.9190101237346,649.2622020431328,637.5990939977349,646.6591166477916,660.2491506228765,660.2491506228765,667.8004535147393,674.2596810933941,645.2702702702703,656.4971751412429,657.5963718820861,663.2536973833902,671.2485681557846,674.3119266055046,668.5714285714286,677.7905638665133,676.2672811059908,672.0,683.4862385321101,669.3548387096774,678.8990825688073,679.026651216686,683.6616454229433,678.2006920415225,672.8323699421966,684.1491841491842,691.3145539906103,691.1421911421911,692.4882629107981,685.7476635514018,699.8827667057444,690.7817969661611,694.7368421052631
B07,298.46938775510205,281.17359413202934,277.9097387173397,274.2316784869976,290.9535452322739,280.0982800982801,276.2836185819071,298.28850855745725,286.4077669902913,295.3995157384988,290.86538461538464,303.3175355450237,294.6859903381643,284.3373493975904,293.8388625592417,295.08196721311475,288.9908256880734,294.392523364486,285.38812785388126,282.5112107623318,302.22222222222223,281.9383259911894,280.4347826086956,279.317697228145,290.2542372881356,280.241935483871,305.4989816700611,288.46153846153845,272.2117202268431,284.11214953271025,269.4394213381555,263.98601398601403,263.33333333333337,262.2950819672131,252.78219395866455,268.10477657935286,269.74664679582713,261.9392185238785,259.8314606741573,263.94557823129253,273.69826435246995,276.90288713910763,263.4961439588689,286.25954198473283,295.51122194513715,301.60692212608154,307.8787878787879,313.5391923990499,331.353919239905,332.5581395348837,356.14849187935033,360.82474226804123,375.2808988764045,399.3212669683258,415.4535274356103,419.3899782135076,447.453954496208,459.2833876221498,488.5993485342019,502.69106566200213,528.5868392664509,550.2136752136752,561.0278372591006,581.6435432230522,596.3983050847457,613.7566137566138,620.253164556962,652.5871172122493,674.4186046511628,688.1606765327696,699.367088607595,724.3928194297782,736.7864693446089,753.1914893617022,764.2706131078224,778.4877529286475,790.2542372881356,808.9171974522293,820.2959830866808,829.6296296296297
B08,440.8284023668639,366.66666666666663,360.0,362.5,371.1340206185567,381.44329896907215,371.50127226463104,365.48223350253807,364.55696202531647,402.0356234096692,405.0,393.12039312039315,396.551724137931,423.55889724310777,400.4914004914005,414.043583535109,439.7163120567376,421.8009478672986,417.24941724941726,432.12669683257917,445.45454545454544,421.1711711711712,444.9339207048458,429.47368421052636,443.2773109243698,445.56451612903226,456.52173913043475,447.8178368121442,450.281425891182,446.0694698354661,463.28671328671334,470.9897610921502,461.7886178861789,479.03225806451616,477.51937984496124,467.6691729323308,484.7161572052401,492.8977272727273,509.6952908587258,516.2162162162163,535.5263157894736,546.7532467532467,565.5526992287918,588.6075949367088,611.7353308364544,627.3062730627307,656.0975609756098,671.8562874251497,709.3301435406698,731.6784869976359,749.1166077738516,759.8607888631091,787.7739331026528,819.1244239631336,832.5688073394496,846.2414578587699,862.81179138322,876.2769580022701,892.0454545454545,902.027027027027,913.2882882882883,921.1711711711712,926.0918253079507,930.4152637485971,931.9955406911929,936.241610738255,934.8314606741573,958.8100686498856,946.9525959367945,944.0089585666293,945.1287793952968,950.2262443438914,948.2564679415073,941.3754227733934,949.2671927846674,959.2760180995475,946.9525959367945,954.9041713641489,961.5384615384615,961.4512471655329
